processed_tweet,username
 feel like im wear a trash bag of anxieti,sosadtoday
 watch myself fuck up in slow motion,sosadtoday
 i have a headach from life be realli long,sosadtoday
 felt a feel and repress it in under one second,sosadtoday
 her life had becom a nap punctuat by internet,sosadtoday
 if you need me ill be eat alon in my car,sosadtoday
 everi time i get out of bed is a disast,sosadtoday
 okay youre hot we get it,sosadtoday
 wish it wa me ignor you,sosadtoday
 make emot progress throw it in the trash,sosadtoday
 sorri for be a person,sosadtoday
i am done be afraidi said and wa still afraid,sosadtoday
im done with thi bullshiti said and then kept do it,sosadtoday
 im onli interest in go back to sleep,sosadtoday
 brb misdirect my anger inwardli,sosadtoday
 hi i know you dont know i exist but i feel like you hate me,sosadtoday
 is it appropri to ask someon whi they dont like you when they dont even know you exist,sosadtoday
 hi can you preorder my new book thank,sosadtoday
 these book are good,sosadtoday
 im effortlessli paranoid,sosadtoday
 overwhelm by most thing,sosadtoday
 compar myself to peopl who dont realli exist,sosadtoday
 these are the best bad decis ive ever made,sosadtoday
 somehow i am not enough and also too much,sosadtoday
 dare to ignor everyth,sosadtoday
 onli my harsh inner critic can judg me,sosadtoday
 in these difficult time never forget whats import be mad onlin,sosadtoday
 im not cool,sosadtoday
 i insist on be insecur,sosadtoday
 still depress,sosadtoday
 i think ive been aliv too long,sosadtoday
 review of tri to be a function human be ,sosadtoday
 peopl love to group peopl into a thing and say a thing about the thing and then other peopl love to respond to that and then more peopl love to respond to the respons,sosadtoday
 sext,sosadtoday
 make self vulner ok never do that again,sosadtoday
 my sport is unrequit love but ive retir from the game,sosadtoday
 ignor me in a hot way,sosadtoday
 oh no im awak,sosadtoday
 almost believ in myself but then didnt,sosadtoday
 how badli will i be punish for think for myself,sosadtoday
 everybodi want you to be as bore as they are,sosadtoday
 invit me to stuff i wont go to,sosadtoday
 whi am i happen,sosadtoday
 my anxieti will alway be here for you,sosadtoday
 my natur state is feel like a loser,sosadtoday
 sorri i turn you into a drug,sosadtoday
 i hate everyth in a whole new way,sosadtoday
 last selfpromo of the night for the late crowd,sosadtoday
 if it someth stupid ive probabl done it,sosadtoday
 for the night twitter peopl hi im selfpromot,sosadtoday
 in case you miss it im selfpromot,sosadtoday
 retir from peopl,sosadtoday
 no i cant just treat myself in a kind and love way,sosadtoday
 if you cant handl me at my insomnia then you dont deserv me at my sleep all day,sosadtoday
 symptom might includ hate everyth,sosadtoday
 i want to sleep through everyth except when it time to sleep and then i want to be onlin,sosadtoday
 in love with you till you speak,sosadtoday
 dont make me do the emot labor of answerhow are you ,sosadtoday
 my two favorit song mayb,sosadtoday
 full of empti but its fine,sosadtoday
 just check in to make sure that everyth is still stupid,sosadtoday
 in person news im done grow as a person,sosadtoday
 i wish i wa more not me,sosadtoday
 i love ignor my need,sosadtoday
 depwess,sosadtoday
 if you need me ill be stare at my phone in a park car avoid everyth,sosadtoday
 my social anxieti is train for a return to societi,sosadtoday
 pleas god just make me stupid,sosadtoday
 the emot labor of not get too attach to my fantasi,sosadtoday
 tri to decid what to masturb to is like a small film festiv,sosadtoday
 should i masturb then nap or nap then masturb a memoir,sosadtoday
 everyth happen for a stupid reason,sosadtoday
 eat alon in my car,sosadtoday
 in a commit relationship with my obsess think,sosadtoday
 im just not that into me,sosadtoday
 dont give up on me or do its fine,sosadtoday
 i love you so i can never speak to you again,sosadtoday
 one sec ill forgiv you soon just gotta suck the last juic out of thi resent,sosadtoday
 if theres one thing i dont like its the consequ of my action,sosadtoday
 meet me at the corner of insomnia and difficulti live in the world,sosadtoday
 my barrier to joy is me,sosadtoday
 it my meaningless bullshit and ill obsess about it if i want to,sosadtoday
 bare exist but it fine,sosadtoday
 brb the world ha fallen short of my unrealist expect,sosadtoday
 oh great i have to be happi for someon els,sosadtoday
 you better not get over me,sosadtoday
