words,weights
tired,7.213607598088608
suffer,7.213607598088608
swear,7.213607598088608
sex,7.213607598088608
shame,7.213607598088608
touch,7.213607598088608
parent,7.213607598088608
paranoid,7.213607598088608
comfort,7.213607598088608
discuss,7.213607598088608
drunk,7.213607598088608
crap,7.213607598088608
argument,7.213607598088608
arm,7.213607598088608
crush,7.213607598088608
blanket,7.213607598088608
brother,7.213607598088608
ex,7.213607598088608
foot,7.213607598088608
girlfriend,7.213607598088608
fun,7.213607598088608
judgment,7.213607598088608
neglect,7.213607598088608
offend,7.213607598088608
kick,7.213607598088608
sister,7.213607598088608
protect,7.213607598088608
shock,7.213607598088608
shoulder,7.213607598088608
react,7.213607598088608
rude,7.213607598088608
punch,7.213607598088608
insist,7.213607598088608
great,7.213607598088608
impact,7.213607598088608
fault,7.213607598088608
guilt,7.213607598088608
heartless,6.9532433342877855
mean,6.9532433342877855
stand,6.9532433342877855
lost,6.9532433342877855
love,6.9532433342877855
overwhelm,6.9532433342877855
rape,6.9532433342877855
hunter,6.9532433342877855
skin,6.9532433342877855
slept,6.9532433342877855
scream,6.9532433342877855
grave,6.9532433342877855
rest,6.9532433342877855
pray,6.9532433342877855
glad,6.9532433342877855
eye,6.9532433342877855
tear,6.9532433342877855
explain,6.9532433342877855
stupid,6.9532433342877855
regret,6.9532433342877855
fact,6.9532433342877855
stress,6.9532433342877855
tough,6.9532433342877855
accident,6.9532433342877855
asleep,6.9532433342877855
broken,6.9532433342877855
blame,6.9532433342877855
warn,6.9532433342877855
destroy,6.9532433342877855
disgust,6.9532433342877855
afraid,6.9532433342877855
nap,6.9532433342877855
nice,6.9532433342877855
hand,6.9532433342877855
burden,6.9532433342877855
annoy,6.9532433342877855
anger,6.9532433342877855
cope,6.9532433342877855
damn,6.9532433342877855
dad,6.9532433342877855
benefit,6.859360706474644
best,6.859360706474644
complain,6.859360706474644
crave,6.859360706474644
danger,6.859360706474644
bleed,6.859360706474644
dream,6.859360706474644
dreamt,6.859360706474644
dread,6.859360706474644
tend,6.859360706474644
hell,6.859360706474644
helpless,6.859360706474644
hit,6.859360706474644
home,6.859360706474644
lifeless,6.859360706474644
scare,6.859360706474644
,6.859360706474644
scratch,6.859360706474644
pure,6.859360706474644
reason,6.859360706474644
worst,6.859360706474644
wrong,6.859360706474644
neck,6.839187111662404
mad,6.839187111662404
dead,6.839187111662404
depth,6.839187111662404
doom,6.839187111662404
honest,6.839187111662404
lay,6.839187111662404
harsh,6.839187111662404
hard,6.839187111662404
half,6.839187111662404
joy,6.839187111662404
kiss,6.839187111662404
orgasm,6.839187111662404
prayer,6.839187111662404
powerless,6.839187111662404
panic,6.839187111662404
hump,6.839187111662404
honor,6.839187111662404
loss,6.839187111662404
fight,6.839187111662404
concern,6.839187111662404
void,6.839187111662404
resent,6.839187111662404
fall,6.839187111662404
condom,6.839187111662404
either,6.839187111662404
cult,6.839187111662404
trauma,6.839187111662404
treat,6.839187111662404
faith,6.839187111662404
mother,6.808142489980444
weak,6.808142489980444
betray,6.808142489980444
cut,6.808142489980444
drown,6.808142489980444
breakdown,6.808142489980444
patient,6.808142489980444
temper,6.808142489980444
face,6.54777822617962
fear,6.54777822617962
stomach,6.54777822617962
cousin,6.54777822617962
war,6.54777822617962
grandma,6.54777822617962
cancer,6.54777822617962
wrist,6.54777822617962
boyfriend,6.54777822617962
lie,6.54777822617962
visit,6.54777822617962
proud,6.54777822617962
attack,6.54777822617962
haunt,6.54777822617962
harm,6.54777822617962
ass,6.54777822617962
relationship,6.54777822617962
support,6.520460417528663
disrespect,6.520460417528663
overreact,6.520460417528663
scar,6.520460417528663
stab,6.520460417528663
interest,6.45389559836648
mood,6.45389559836648
chest,6.45389559836648
death,6.45389559836648
sleepless,6.45389559836648
flirt,6.433722003554241
father,6.433722003554241
friend,6.433722003554241
hurt,6.433722003554241
lose,6.433722003554241
grief,6.433722003554241
soft,6.433722003554241
mom,6.433722003554241
pain,6.433722003554241
wound,6.433722003554241
thrill,6.433722003554241
punish,6.433722003554241
child,6.433722003554241
hope,6.297316866214452
mouth,6.297316866214452
upset,6.260096153727839
aunt,6.260096153727839
talk,6.166213525914698
disappoint,6.166213525914698
trust,6.166213525914698
worthless,6.1149953094204985
slap,6.1149953094204985
break,6.0369526024136295
girl,6.0369526024136295
prove,5.9608446295932405
die,5.9608446295932405
insomnia,5.9430699746004905
relax,5.922896379788249
denial,5.922896379788249
depress,5.922896379788249
kill,5.922896379788249
care,5.922896379788249
help,5.922896379788249
head,5.922896379788249
better,5.922896379788249
sick,5.827313236968718
kind,5.827313236968718
wish,5.7405748229942954
sad,5.7405748229942954
tonight,5.586424143167036
confess,5.454347296253507
childhood,5.454347296253507
devil,5.454347296253507
rant,5.454347296253507
wreck,5.454347296253507
beat,5.454347296253507
thrash,5.454347296253507
hip,5.454347296253507
victim,5.454347296253507
lip,5.454347296253507
insult,5.454347296253507
thigh,5.454347296253507
respect,5.421848128860552
shit,5.355283309698371
bad,5.355283309698371
bitch,5.341805421187017
keep,5.33510971488613
stop,5.33510971488613
bed,5.267697449033295
life,5.249922794040544
hate,5.1546126142362185
monster,5.069026754237812
church,5.069026754237812
butt,5.069026754237812
suppress,5.069026754237812
worship,5.069026754237812
whore,5.069026754237812
sleep,4.893276962607091
boy,4.663561646129646
fuck,4.648658240627071
feel,4.1498829533812485
